actual_position,raw_text,clean_text,confidence,parse_ok,status,reason,recommended_position,red_box,crop_box,crop_path,ocr_attempts
1,D669.5/CW,D669.5/CW,0.9545,True,green,排序正确,1,"[0, 638, 8, 77]","[48, 632, 31, 160]",stage5_mobile_results\red_candidate_probe\standard\c973e1dd854ad2be_IMG20260523100852\crops\ocr_crop_001.jpg,[]
2,D669.5/CXJ >4 4,D669.5/CXJ44,0.6214,True,yellow,OCR 置信度较低,,"[79, 626, 1, 172]","[79, 626, 40, 172]",stage5_mobile_results\red_candidate_probe\standard\c973e1dd854ad2be_IMG20260523100852\crops\ocr_crop_002.jpg,[]
3,D669.5/DJQ,D669.5/DJQ,0.9944,True,green,排序正确,2,"[0, 636, 8, 92]","[119, 632, 32, 160]",stage5_mobile_results\red_candidate_probe\standard\c973e1dd854ad2be_IMG20260523100852\crops\ocr_crop_003.jpg,[]
4,D669.5/FJP,D669.5/FJP,0.9914,True,green,排序正确,3,"[0, 637, 8, 87]","[149, 632, 32, 160]",stage5_mobile_results\red_candidate_probe\standard\c973e1dd854ad2be_IMG20260523100852\crops\ocr_crop_004.jpg,[]
5,D669.5/FXT1,D669.5/FXT1,0.9924,True,green,排序正确,4,"[0, 636, 8, 96]","[197, 632, 31, 160]",stage5_mobile_results\red_candidate_probe\standard\c973e1dd854ad2be_IMG20260523100852\crops\ocr_crop_005.jpg,[]
6,D669.5/FXY,D669.5/FXY,0.9935,True,green,排序正确,5,"[0, 638, 8, 93]","[237, 632, 31, 160]",stage5_mobile_results\red_candidate_probe\standard\c973e1dd854ad2be_IMG20260523100852\crops\ocr_crop_006.jpg,[]
7,D669.5/GR,D669.5/GR,0.9969,True,green,排序正确,6,"[0, 637, 8, 85]","[273, 632, 33, 160]",stage5_mobile_results\red_candidate_probe\standard\c973e1dd854ad2be_IMG20260523100852\crops\ocr_crop_007.jpg,[]
8,D669.5/GXY,D669.5/GXY,0.9921,True,green,排序正确,7,"[0, 644, 8, 92]","[308, 632, 31, 160]",stage5_mobile_results\red_candidate_probe\standard\c973e1dd854ad2be_IMG20260523100852\crops\ocr_crop_008.jpg,[]
9,D669.5/HHQ,D669.5/HHQ,0.9947,True,green,排序正确,8,"[0, 648, 8, 95]","[345, 632, 30, 160]",stage5_mobile_results\red_candidate_probe\standard\c973e1dd854ad2be_IMG20260523100852\crops\ocr_crop_009.jpg,[]
10,D669.5/HJF,D669.5/HJF,0.9958,True,green,排序正确,9,"[0, 650, 8, 94]","[381, 632, 32, 160]",stage5_mobile_results\red_candidate_probe\standard\c973e1dd854ad2be_IMG20260523100852\crops\ocr_crop_010.jpg,[]
11,D669.5/HJZ1,D669.5/HJZ1,0.9943,True,green,排序正确,10,"[0, 654, 8, 100]","[416, 632, 30, 160]",stage5_mobile_results\red_candidate_probe\standard\c973e1dd854ad2be_IMG20260523100852\crops\ocr_crop_011.jpg,[]
12,D669.5/HL,D669.5/HL,0.9872,True,green,排序正确,11,"[0, 658, 8, 84]","[487, 632, 29, 160]",stage5_mobile_results\red_candidate_probe\standard\c973e1dd854ad2be_IMG20260523100852\crops\ocr_crop_012.jpg,[]
13,D669.5/HL1,D669.5/HL1,0.9935,True,green,排序正确,12,"[0, 662, 8, 104]","[545, 632, 31, 160]",stage5_mobile_results\red_candidate_probe\standard\c973e1dd854ad2be_IMG20260523100852\crops\ocr_crop_014.jpg,[]
14,D669.5/HQJ,D669.5/HQJ,0.9971,True,green,排序正确,13,"[0, 662, 8, 92]","[579, 632, 30, 160]",stage5_mobile_results\red_candidate_probe\standard\c973e1dd854ad2be_IMG20260523100852\crops\ocr_crop_015.jpg,[]
15,D669.5/HWB,D669.5/HWB,0.9973,True,green,排序正确,14,"[0, 658, 8, 94]","[612, 632, 31, 160]",stage5_mobile_results\red_candidate_probe\standard\c973e1dd854ad2be_IMG20260523100852\crops\ocr_crop_016.jpg,[]
16,D669.5/HXY1,D669.5/HXY1,0.9923,True,green,排序正确,15,"[0, 661, 8, 102]","[655, 632, 32, 160]",stage5_mobile_results\red_candidate_probe\standard\c973e1dd854ad2be_IMG20260523100852\crops\ocr_crop_017.jpg,[]
17,D669.5/HY,D669.5/HY,0.9943,True,green,排序正确,16,"[0, 667, 8, 84]","[694, 632, 32, 160]",stage5_mobile_results\red_candidate_probe\standard\c973e1dd854ad2be_IMG20260523100852\crops\ocr_crop_018.jpg,[]
18,D669.5/JB,D669.5/JB,0.9970,True,green,排序正确,17,"[0, 671, 8, 86]","[737, 632, 32, 160]",stage5_mobile_results\red_candidate_probe\standard\c973e1dd854ad2be_IMG20260523100852\crops\ocr_crop_019.jpg,[]
19,D669.5/JLH,D669.5/JLH,0.9978,True,green,排序正确,18,"[0, 676, 8, 85]","[777, 632, 31, 160]",stage5_mobile_results\red_candidate_probe\standard\c973e1dd854ad2be_IMG20260523100852\crops\ocr_crop_020.jpg,[]
20,D669.5/JQL,D669.5/JQL,0.9952,True,green,排序正确,19,"[0, 676, 8, 93]","[823, 632, 32, 160]",stage5_mobile_results\red_candidate_probe\standard\c973e1dd854ad2be_IMG20260523100852\crops\ocr_crop_021.jpg,[]
21,D669.5/JWW,D669.5/JWW,0.9557,True,green,排序正确,20,"[0, 679, 8, 92]","[859, 632, 28, 160]",stage5_mobile_results\red_candidate_probe\standard\c973e1dd854ad2be_IMG20260523100852\crops\ocr_crop_022.jpg,[]
22,D669.5/LDH,D669.5/LDH,0.9971,True,green,排序正确,21,"[0, 673, 8, 93]","[892, 632, 33, 160]",stage5_mobile_results\red_candidate_probe\standard\c973e1dd854ad2be_IMG20260523100852\crops\ocr_crop_023.jpg,[]
23,D669.5/LGC,D669.5/LGC,0.9970,True,green,排序正确,22,"[0, 678, 8, 91]","[942, 632, 31, 160]",stage5_mobile_results\red_candidate_probe\standard\c973e1dd854ad2be_IMG20260523100852\crops\ocr_crop_024.jpg,[]
24,D669.5/LHH,D669.5/LHH,0.9979,True,green,排序正确,23,"[0, 680, 8, 94]","[974, 632, 30, 160]",stage5_mobile_results\red_candidate_probe\standard\c973e1dd854ad2be_IMG20260523100852\crops\ocr_crop_025.jpg,[]
25,D669.5/LK,D669.5/LK,0.9961,True,green,排序正确,24,"[0, 683, 8, 84]","[1000, 632, 30, 160]",stage5_mobile_results\red_candidate_probe\standard\c973e1dd854ad2be_IMG20260523100852\crops\ocr_crop_026.jpg,[]
26,D669.6/LNN,D669.6/LNN,0.9961,True,red,推荐位置应为 28,28,"[0, 682, 8, 94]","[1030, 632, 32, 160]",stage5_mobile_results\red_candidate_probe\standard\c973e1dd854ad2be_IMG20260523100852\crops\ocr_crop_027.jpg,[]
27,D669.5/LQM,D669.5/LQM,0.9955,True,green,排序正确,25,"[0, 692, 8, 94]","[1064, 632, 35, 160]",stage5_mobile_results\red_candidate_probe\standard\c973e1dd854ad2be_IMG20260523100852\crops\ocr_crop_028.jpg,[]
28,D669.5/LRG,D669.5/LRG,0.9965,True,green,排序正确,26,"[0, 687, 8, 94]","[1106, 632, 32, 160]",stage5_mobile_results\red_candidate_probe\standard\c973e1dd854ad2be_IMG20260523100852\crops\ocr_crop_029.jpg,[]
29,D669.5/LSZ1,D669.5/LSZ1,0.9942,True,green,排序正确,27,"[0, 676, 8, 101]","[1150, 632, 34, 160]",stage5_mobile_results\red_candidate_probe\standard\c973e1dd854ad2be_IMG20260523100852\crops\ocr_crop_030.jpg,[]
