actual_position,raw_text,clean_text,confidence,parse_ok,status,reason,recommended_position,red_box,crop_box,crop_path,ocr_attempts
1,D669.5/LGC,D669.5/LGC,0.9979,True,yellow,边缘 crop 可能截断书号，建议人工复核,,"[0, 636, 8, 93]","[0, 634, 39, 133]",stage5_mobile_results\red_candidate_probe\standard\35a7ea6497538bff_IMG20260523100857\crops\ocr_crop_001.jpg,[]
2,D669.5/LHH,D669.5/LHH,0.9969,True,green,排序正确,2,"[0, 638, 8, 94]","[31, 634, 39, 133]",stage5_mobile_results\red_candidate_probe\standard\35a7ea6497538bff_IMG20260523100857\crops\ocr_crop_002.jpg,[]
3,D669.5/LK,D669.5/LK,0.9959,True,green,排序正确,3,"[0, 639, 8, 85]","[59, 634, 38, 133]",stage5_mobile_results\red_candidate_probe\standard\35a7ea6497538bff_IMG20260523100857\crops\ocr_crop_003.jpg,[]
4,D669.6/LNN,D669.6/LNN,0.9947,True,red,推荐位置应为 32,32,"[0, 639, 8, 94]","[88, 634, 39, 133]",stage5_mobile_results\red_candidate_probe\standard\35a7ea6497538bff_IMG20260523100857\crops\ocr_crop_004.jpg,[]
5,D669.5/LQM,D669.5/LQM,0.9950,True,green,排序正确,4,"[0, 647, 8, 95]","[125, 634, 39, 133]",stage5_mobile_results\red_candidate_probe\standard\35a7ea6497538bff_IMG20260523100857\crops\ocr_crop_005.jpg,[]
6,D669.5/LRG,D669.5/LRG,0.9972,True,green,排序正确,5,"[0, 641, 8, 94]","[166, 634, 38, 133]",stage5_mobile_results\red_candidate_probe\standard\35a7ea6497538bff_IMG20260523100857\crops\ocr_crop_006.jpg,[]
7,D669.5/LSZ1,D669.5/LSZ1,0.9765,True,green,排序正确,6,"[0, 627, 8, 104]","[209, 627, 41, 140]",stage5_mobile_results\red_candidate_probe\standard\35a7ea6497538bff_IMG20260523100857\crops\ocr_crop_007.jpg,[]
8,D669.5/LWP,D669.5/LWP,0.9870,True,green,排序正确,7,"[0, 643, 8, 95]","[252, 634, 39, 133]",stage5_mobile_results\red_candidate_probe\standard\35a7ea6497538bff_IMG20260523100857\crops\ocr_crop_008.jpg,[]
9,D669.5/LYJ,D669.5/LYJ,0.9948,True,green,排序正确,8,"[0, 648, 8, 93]","[291, 634, 38, 133]",stage5_mobile_results\red_candidate_probe\standard\35a7ea6497538bff_IMG20260523100857\crops\ocr_crop_009.jpg,[]
10,D669.5/MDT,D669.5/MDT,0.9970,True,green,排序正确,9,"[0, 646, 8, 95]","[335, 634, 37, 133]",stage5_mobile_results\red_candidate_probe\standard\35a7ea6497538bff_IMG20260523100857\crops\ocr_crop_010.jpg,[]
