actual_position,raw_text,clean_text,confidence,parse_ok,status,reason,recommended_position,red_box,crop_box,crop_path,ocr_attempts
1,D669.3/HLY,D669.3/HLY,0.9986,True,yellow,边缘 crop 可能截断书号，建议人工复核,,"[0, 736, 8, 110]","[0, 723, 27, 176]",stage5_mobile_results\final_demo_results\standard\IMG20260517094334\crops\ocr_crop_001.jpg,[]
2,D669.3/HSH,D669.3/HSH,0.9985,True,green,排序正确,3,"[0, 744, 8, 117]","[49, 723, 35, 176]",stage5_mobile_results\final_demo_results\standard\IMG20260517094334\crops\ocr_crop_002.jpg,[]
3,D669.3/HSH1,D669.3/HSH1,0.9982,True,green,排序正确,4,"[0, 731, 8, 126]","[85, 723, 39, 176]",stage5_mobile_results\final_demo_results\standard\IMG20260517094334\crops\ocr_crop_003.jpg,[]
4,D669.3/HSY,D669.3/HSY,0.9803,True,green,排序正确,5,"[0, 733, 8, 116]","[134, 723, 33, 176]",stage5_mobile_results\final_demo_results\standard\IMG20260517094334\crops\ocr_crop_004.jpg,[]
5,D669. 3/HW 2,D669.3/HW2,0.6400,True,yellow,OCR 置信度较低,,"[174, 717, 1, 183]","[174, 717, 48, 183]",stage5_mobile_results\final_demo_results\standard\IMG20260517094334\crops\ocr_crop_005.jpg,[]
6,D669.3/HW3,D669.3/HW3,0.9968,True,green,排序正确,6,"[0, 723, 8, 127]","[229, 723, 36, 176]",stage5_mobile_results\final_demo_results\standard\IMG20260517094334\crops\ocr_crop_006.jpg,[]
7,D669.3/HWX,D669.3/HWX,0.9968,True,green,排序正确,7,"[0, 738, 8, 116]","[258, 723, 35, 176]",stage5_mobile_results\final_demo_results\standard\IMG20260517094334\crops\ocr_crop_007.jpg,[]
8,D669.3/HX 1,D669.3/HX1,0.9595,True,green,排序正确,8,"[0, 733, 8, 127]","[289, 723, 34, 176]",stage5_mobile_results\final_demo_results\standard\IMG20260517094334\crops\ocr_crop_008.jpg,[]
9,D669.3/HX 2,D669.3/HX2,0.9660,True,green,排序正确,9,"[0, 730, 8, 128]","[324, 723, 35, 176]",stage5_mobile_results\final_demo_results\standard\IMG20260517094334\crops\ocr_crop_009.jpg,[]
10,D669.3/HXH,D669.3/HXH,0.9987,True,green,排序正确,10,"[0, 743, 8, 113]","[368, 723, 34, 176]",stage5_mobile_results\final_demo_results\standard\IMG20260517094334\crops\ocr_crop_010.jpg,[]
11,D669.3/HXM,D669.3/HXM,0.9968,True,green,排序正确,11,"[0, 735, 8, 117]","[410, 723, 35, 176]",stage5_mobile_results\final_demo_results\standard\IMG20260517094334\crops\ocr_crop_011.jpg,[]
12,D669.3/HYJ,D669.3/HYJ,0.9971,True,green,排序正确,12,"[0, 736, 8, 118]","[449, 723, 38, 176]",stage5_mobile_results\final_demo_results\standard\IMG20260517094334\crops\ocr_crop_012.jpg,[]
13,D669.3/HZF,D669.3/HZF,0.9971,True,green,排序正确,13,"[0, 738, 8, 118]","[487, 723, 38, 176]",stage5_mobile_results\final_demo_results\standard\IMG20260517094334\crops\ocr_crop_013.jpg,[]
14,D669.3/HZL,D669.3/HZL,0.9396,True,green,排序正确,14,"[0, 737, 8, 120]","[528, 723, 42, 176]",stage5_mobile_results\final_demo_results\standard\IMG20260517094334\crops\ocr_crop_014.jpg,[]
15,D663.3/HZX,D663.3/HZX,0.9825,True,yellow,分类号与相邻书号不一致，疑似 OCR 前缀或馆内排架差异，建议人工复核,,"[0, 725, 8, 153]","[591, 723, 32, 176]",stage5_mobile_results\final_demo_results\standard\IMG20260517094334\crops\ocr_crop_015.jpg,[]
16,D669.3/JD,D669.3/JD,0.9955,True,green,排序正确,15,"[0, 749, 8, 95]","[645, 723, 32, 176]",stage5_mobile_results\final_demo_results\standard\IMG20260517094334\crops\ocr_crop_016.jpg,[]
17,D669.3/JGX,D669.3/JGX,0.9973,True,green,排序正确,16,"[0, 742, 8, 118]","[691, 723, 37, 176]",stage5_mobile_results\final_demo_results\standard\IMG20260517094334\crops\ocr_crop_017.jpg,[]
18,D669.3/JJ,D669.3/JJ,0.9972,True,green,排序正确,17,"[0, 749, 8, 109]","[730, 723, 40, 176]",stage5_mobile_results\final_demo_results\standard\IMG20260517094334\crops\ocr_crop_018.jpg,[]
19,D669.3/JNS,D669.3/JNS,0.9312,True,green,排序正确,18,"[0, 738, 8, 142]","[787, 723, 43, 176]",stage5_mobile_results\final_demo_results\standard\IMG20260517094334\crops\ocr_crop_019.jpg,[]
20,D669.3/JQ,D669.3/JQ,0.9935,True,green,排序正确,19,"[0, 758, 8, 110]","[851, 723, 37, 176]",stage5_mobile_results\final_demo_results\standard\IMG20260517094334\crops\ocr_crop_020.jpg,[]
21,D669.3/JQF,D669.3/JQF,0.9958,True,green,排序正确,20,"[0, 760, 8, 119]","[898, 723, 37, 176]",stage5_mobile_results\final_demo_results\standard\IMG20260517094334\crops\ocr_crop_021.jpg,[]
22,D669.3/JQL,D669.3/JQL,0.9927,True,green,排序正确,21,"[0, 752, 8, 118]","[937, 723, 35, 176]",stage5_mobile_results\final_demo_results\standard\IMG20260517094334\crops\ocr_crop_022.jpg,[]
23,D669.3/JRS,D669.3/JRS,0.9977,True,green,排序正确,22,"[0, 748, 8, 121]","[971, 723, 39, 176]",stage5_mobile_results\final_demo_results\standard\IMG20260517094334\crops\ocr_crop_023.jpg,[]
24,D669.3/JTL,D669.3/JTL,0.9971,True,green,排序正确,23,"[0, 755, 8, 121]","[1012, 723, 41, 176]",stage5_mobile_results\final_demo_results\standard\IMG20260517094334\crops\ocr_crop_024.jpg,[]
25,D669.3/JXF,D669.3/JXF,0.9974,True,green,排序正确,24,"[0, 758, 8, 120]","[1048, 723, 40, 176]",stage5_mobile_results\final_demo_results\standard\IMG20260517094334\crops\ocr_crop_025.jpg,[]
26,D669.3/JXW,D669.3/JXW,0.9966,True,green,排序正确,25,"[0, 749, 8, 120]","[1089, 723, 40, 176]",stage5_mobile_results\final_demo_results\standard\IMG20260517094334\crops\ocr_crop_026.jpg,[]
27,D669.3/JXW,D669.3/JXW,0.9934,True,green,排序正确,26,"[0, 753, 8, 121]","[1133, 723, 39, 176]",stage5_mobile_results\final_demo_results\standard\IMG20260517094334\crops\ocr_crop_027.jpg,[]
